Rank,SummonerName,LeaguePoints,Wins,Losses,HotStreak,WinLossRatio
1,Nom inconnu,1513,95,57,Non,1.67
2,Nom inconnu,1405,114,88,Non,1.30
3,Nom inconnu,1323,109,89,Oui,1.22
4,Nom inconnu,1311,155,128,Oui,1.21
5,Nom inconnu,1300,148,115,Non,1.29
6,Nom inconnu,1300,87,57,Non,1.53
7,Nom inconnu,1298,93,85,Non,1.09
8,Nom inconnu,1297,77,46,Non,1.67
9,Nom inconnu,1287,131,108,Non,1.21
10,Nom inconnu,1278,88,60,Oui,1.47
11,Nom inconnu,1255,77,55,Non,1.40
12,Nom inconnu,1248,114,97,Non,1.18
13,Nom inconnu,1241,125,104,Non,1.20
14,Nom inconnu,1156,73,42,Non,1.74
15,Nom inconnu,1154,121,109,Non,1.11
16,Nom inconnu,1150,79,52,Non,1.52
17,Nom inconnu,1144,79,67,Non,1.18
18,Nom inconnu,1123,114,105,Non,1.09
19,Nom inconnu,1105,86,69,Non,1.25
20,Nom inconnu,1102,89,69,Non,1.29
21,Nom inconnu,1095,72,56,Non,1.29
22,Nom inconnu,1089,104,77,Non,1.35
23,Nom inconnu,1072,100,69,Non,1.45
24,Nom inconnu,1065,81,61,Non,1.33
25,Nom inconnu,1062,100,85,Non,1.18
26,Nom inconnu,1057,104,87,Non,1.20
27,Nom inconnu,1051,70,60,Non,1.17
28,Nom inconnu,1048,114,85,Non,1.34
29,Nom inconnu,1037,107,83,Non,1.29
30,Nom inconnu,1022,111,95,Non,1.17
31,Nom inconnu,1017,86,57,Oui,1.51
32,Nom inconnu,1015,108,77,Non,1.40
33,Nom inconnu,1010,73,55,Oui,1.33
34,Nom inconnu,1006,99,86,Oui,1.15
35,Nom inconnu,1003,90,59,Non,1.53
36,Nom inconnu,997,127,99,Non,1.28
37,Nom inconnu,996,68,48,Oui,1.42
38,Nom inconnu,994,76,64,Non,1.19
39,Nom inconnu,964,117,93,Non,1.26
40,Nom inconnu,957,86,54,Non,1.59
41,Nom inconnu,954,96,83,Non,1.16
42,Nom inconnu,952,65,47,Non,1.38
43,Nom inconnu,952,65,48,Non,1.35
44,Nom inconnu,948,90,69,Non,1.30
45,Nom inconnu,943,116,91,Non,1.27
46,Nom inconnu,942,83,77,Non,1.08
47,Nom inconnu,941,77,57,Non,1.35
48,Nom inconnu,922,130,102,Non,1.27
49,Nom inconnu,921,89,56,Non,1.59
50,Nom inconnu,917,58,31,Non,1.87
51,Nom inconnu,916,68,41,Non,1.66
52,Nom inconnu,908,115,96,Non,1.20
53,Nom inconnu,907,79,61,Oui,1.30
54,Nom inconnu,907,55,22,Non,2.50
55,Nom inconnu,905,74,57,Non,1.30
56,Nom inconnu,905,62,40,Non,1.55
57,Nom inconnu,900,65,47,Non,1.38
58,Nom inconnu,897,109,85,Non,1.28
59,Nom inconnu,893,80,57,Non,1.40
60,Nom inconnu,891,70,59,Oui,1.19
61,Nom inconnu,888,92,82,Non,1.12
62,Nom inconnu,881,128,110,Non,1.16
63,Nom inconnu,881,102,89,Non,1.15
64,Nom inconnu,878,87,73,Oui,1.19
65,Nom inconnu,873,72,44,Oui,1.64
66,Nom inconnu,868,143,131,Non,1.09
67,Nom inconnu,866,96,84,Non,1.14
68,Nom inconnu,863,113,93,Non,1.22
69,Nom inconnu,863,85,79,Non,1.08
70,Nom inconnu,858,74,59,Non,1.25
71,Nom inconnu,851,74,45,Oui,1.64
72,Nom inconnu,850,51,26,Oui,1.96
73,Nom inconnu,846,123,101,Non,1.22
74,Nom inconnu,841,86,78,Non,1.10
75,Nom inconnu,837,81,52,Non,1.56
76,Nom inconnu,836,82,70,Non,1.17
77,Nom inconnu,835,56,38,Oui,1.47
78,Nom inconnu,830,102,100,Non,1.02
79,Nom inconnu,830,89,86,Non,1.03
80,Nom inconnu,829,119,97,Non,1.23
81,Nom inconnu,822,111,88,Oui,1.26
82,Nom inconnu,812,96,66,Non,1.45
83,Nom inconnu,811,104,97,Non,1.07
84,Nom inconnu,811,67,41,Oui,1.63
85,Nom inconnu,809,71,58,Non,1.22
86,Nom inconnu,807,65,36,Non,1.81
87,Nom inconnu,806,96,83,Non,1.16
88,Nom inconnu,804,117,98,Non,1.19
89,Nom inconnu,804,67,51,Non,1.31
90,Nom inconnu,803,63,37,Oui,1.70
91,Nom inconnu,802,59,40,Non,1.48
92,Nom inconnu,800,126,109,Non,1.16
93,Nom inconnu,799,120,95,Non,1.26
94,Nom inconnu,795,75,59,Non,1.27
95,Nom inconnu,794,66,53,Oui,1.25
96,Nom inconnu,794,63,49,Oui,1.29
97,Nom inconnu,793,66,37,Non,1.78
98,Nom inconnu,790,149,133,Non,1.12
99,Nom inconnu,788,72,68,Oui,1.06
100,Nom inconnu,785,92,68,Oui,1.35
